#古籍字	Unicode	序号
懲	061F2	01134
騬	09A2C	01135
逞	0901E	01136
騁	09A01	01137
秤	079E4	01138
吃	05403	01139
郗	090D7	01140
哧	054E7	01141
胵	080F5	01142
蚩	086A9	01143
眵	07735	01144
笞	07B1E	01145
瓻	074FB	01146
喫	055AB	01147
摛	0645B	01148
嗤	055E4	01149
媸	05AB8	01150
絺	07D7A	01151
瞝	0779D	01152
螭	087AD	01153
鴟	09D1F	01154
魑	09B51	01155
𧴐	27D10	01156
癡	07661	01157
齝	09F5D	01158
黐	09ED0	01159
池	06C60	01160
弛	05F1B	01161
坻	0577B	01162
泜	06CDC	01163
持	06301	01164
拸	062F8	01165
荎	0834E	01166
匙	05319	01167
蚳	086B3	01168
傂	05082	01169
馳	099B3	01170
遟	0905F	01171
漦	06F26	01172
墀	05880	01173
踟	08E1F	01174
遲	09072	01175
篪	07BEA	01176
䜄	04704	01177
鶗	09D97	01178
尺	05C3A	01179
扡	06261	01180
侈	04F88	01181
哆	054C6	01182
胣	080E3	01183
恀	06040	01184
姼	059FC	01185
耻	0803B	01186
蚇	08687	01187
䏧	043E7	01188
豉	08C49	01189
蚸	086B8	01190
㢋	0388B	01191
袲	088B2	01192
鉹	09279	01193
齒	09F52	01194
褫	0892B	01195
彳	05F73	01196
叱	053F1	01197
斥	065A5	01198
赤	08D64	01199
杘	06758	01200
抶	062B6	01201
侙	04F99	01202
恜	0605C	01203
翅	07FC5	01204
眙	07719	01205
𦐊	2640A	01206
敕	06555	01207
痓	075D3	01208
淔	06DD4	01209
飭	098ED	01210
啻	0557B	01211
湁	06E41	01212
雴	096F4	01213
傺	050BA	01214
痸	075F8	01215
憏	0618F	01216
𤸪	24E2A	01217
瘛	0761B	01218
熾	071BE	01219
䠠	04820	01220
懘	061D8	01221
鶒	09D92	01222
饎	0994E	01223
騺	09A3A	01224
冲	051B2	01225
充	05145	01226
𡉥	21265	01227
沖	06C96	01228
忡	05FE1	01229
茺	0833A	01230
㤝	0391D	01231
珫	073EB	01232
浺	06D7A	01233
翀	07FC0	01234
舂	08202	01235
䘪	0462A	01236
摏	0644F	01237
𠟍	207CD	01238
憃	06183	01239
衝	0885D	01240
憧	061A7	01241
𪎽	2A3BD	01242
𧝎	2774E	01243
蹖	08E56	01244
艟	0825F	01245
䡴	04874	01246
虫	0866B	01247
种	079CD	01248
崇	05D07	01249
痋	075CB	01250
蟲	087F2	01251
爞	0721E	01252
寵	05BF5	01253
揰	063F0	01254
銃	09283	01255
