#漢字	Unicode	序號	備注
線	7DDA	3133	⿰糸泉
綫	7DAB	3133V	⿰糸戔
緞	7DDE	3134	
緩	7DE9	3135	
綞	7D9E	3136	
縕	7E15	3137	
縑	7E11	3138	
縈	7E08	3139	
縛	7E1B	3140	
縣	7E23	3141	
縮	7E2E	3142	
績	7E3E	3143	
繆	7E46	3144	
縷	7E37	3145	
縲	7E32	3146	
繃	7E43	3147	
縫	7E2B	3148	
總	7E3D	3149	
縱	7E31	3150	
繅	7E45	3151	
繁	7E41	3152	
織	7E54	3153	
繕	7E55	3154	
繞	7E5E	3155	
繚	7E5A	3156	
綉	7D89	3157	⿰糸秀
繡	7E61	3157V	⿰糸肅
繫	7E6B	3158	
繭	7E6D	3159	
繹	7E79	3160	
繩	7E69	3161	
繪	7E6A	3162	
繳	7E73	3163	
繽	7E7D	3164	
辮	8FAE	3165	
繼	7E7C	3166	
纂	7E82	3167	
纏	7E8F	3168	
續	7E8C	3169	
纓	7E93	3170	
纖	7E96	3171	
纜	7E9C	3172	
缶	7F36	3173	
缸	7F38	3174	
缺	7F3A	3175	
鉢	9262	3176	⿰金本
缽	7F3D	3176V	⿰缶本
罄	7F44	3177	
罈	7F48	3178	
罐	7F50	3179	
罕	7F55	3180	
罔	7F54	3181	
罟	7F5F	3182	
置	7F6E	3183	
署	7F72	3184	
罩	7F69	3185	
罪	7F6A	3186	
罰	7F70	3187	
罵	7F75	3188	
罷	7F77	3189	
罹	7F79	3190	
羅	7F85	3191	
羈	7F88	3192	
羊	7F8A	3193	
羌	7F8C	3194	
美	7F8E	3195	
羔	7F94	3196	
羞	7F9E	3197	
羚	7F9A	3198	
善	5584	3199	
羨	7FA8	3200	
羣	7FA3	3201	⿱君羊
群	7FA4	3201V	⿰君羊
義	7FA9	3202	
羯	7FAF	3203	
羲	7FB2	3204	
羶	7FB6	3205	
羹	7FB9	3206	
羸	7FB8	3207	
羽	7FBD	3208	
羿	7FBF	3209	
翅	7FC5	3210	
翁	7FC1	3211	
翌	7FCC	3212	
翎	7FCE	3213	
習	7FD2	3214	
翔	7FD4	3215	
翕	7FD5	3216	
翠	7FE0	3217	
翡	7FE1	3218	
翟	7FDF	3219	
翩	7FE9	3220	
翰	7FF0	3221	
翱	7FF1	3222	⿰皋羽
翺	7FFA	3222T	⿰臯羽
翳	7FF3	3223	
翼	7FFC	3224	
翹	7FF9	3225	
翻	7FFB	3226	
耀	8000	3227	
老	8001	3228	
考	8003	3229	
者	8005	3230	
耆	8006	3231	
而	800C	3232	
耐	8010	3233	
耍	800D	3234	
耒	8012	3235	
耘	8018	3236	
耕	8015	3237	
耙	8019	3238	
耗	8017	3239	
耜	801C	3240	
耳	8033	3241	
耶	8036	3242	
耽	803D	3243	
耿	803F	3244	
聊	804A	3245	
聆	8046	3246	
聖	8056	3247	
聘	8058	3248	
聞	805E	3249	
聚	805A	3250	
聱	8071	3251	
聲	8072	3252	
聰	8070	3253	
聯	806F	3254	
聳	8073	3255	
職	8077	3256	
聶	8076	3257	
聽	807D	3258	
聾	807E	3259	
聿	807F	3260	
肆	8086	3261	
肄	8084	3262	
肅	8085	3263	
肇	8087	3264	
肉	8089	3265	
肋	808B	3266	
肌	808C	3267	
肓	8093	3268	
肖	8096	3269	
肝	809D	3270	
肘	8098	3271	
肛	809B	3272	
肚	809A	3273	
育	80B2	3274	
肩	80A9	3275	
肪	80AA	3276	
肺	80BA	3277	
肥	80A5	3278	
肢	80A2	3279	
肱	80B1	3280	
股	80A1	3281	
肫	80AB	3282	
肴	80B4	3283	
肯	80AF	3284	
胖	80D6	3285	
胥	80E5	3286	
胚	80DA	3287	
胡	80E1	3288	
胃	80C3	3289	
背	80CC	3290	
胛	80DB	3291	
胎	80CE	3292	
胞	80DE	3293	
胤	80E4	3294	
胰	80F0	3295	
脅	8105	3296	
胱	80F1	3297	
脂	8102	3298	
胭	80ED	3299	
胴	80F4	3300	
脆	8106	3301	
胸	80F8	3302	
胳	80F3	3303	
脈	8108	3304	
能	80FD	3305	
脊	810A	3306	
脫	812B	3307	⿰⺼⿱八兄
脱	8131	3307T	⿰⺼⿱丷兄
脯	812F	3308	
脖	8116	3309	
脣	8123	3310	⿸辰⺝
唇	5507	3310V	⿸辰口
脩	8129	3311	
腕	8155	3312	
腔	8154	3313	
腋	814B	3314	
腑	8151	3315	
腎	814E	3316	
脹	8139	3317	
腆	8146	3318	
脾	813E	3319	
腐	8150	3320	
腱	8171	3321	
腰	8170	3322	
腸	8178	3323	
腥	8165	3324	
腮	816E	3325	
腳	8173	3326	
腫	816B	3327	
腹	8179	3328	
腺	817A	3329	
腦	8166	3330	
膀	8180	3331	
膏	818F	3332	
膈	8188	3333	
膊	818A	3334	
腿	817F	3335	
膝	819D	3336	
膠	81A0	3337	
膛	819B	3338	
膜	819C	3339	
膚	819A	3340	
膳	81B3	3341	
膩	81A9	3342	
膨	81A8	3343	
臆	81C6	3344	
臃	81C3	3345	
膺	81BA	3346	
臂	81C2	3347	
臀	81C0	3348	
膿	81BF	3349	
膽	81BD	3350	
臉	81C9	3351	
膾	81BE	3352	
臍	81CD	3353	
臏	81CF	3354	
臘	81D8	3355	
臚	81DA	3356	
臟	81DF	3357	
臣	81E3	3358	
臥	81E5	3359	⿰臣人
卧	5367	3359V	⿰臣卜
臧	81E7	3360	
臨	81E8	3361	
自	81EA	3362	
臭	81ED	3363	
至	81F3	3364	
致	81F4	3365	
臻	81FB	3366	
臼	81FC	3367	
臾	81FE	3368	
舀	8200	3369	
舂	8202	3370	
舅	8205	3371	
與	8207	3372	
興	8208	3373	
擧	64E7	3374	⿱與手
